clusters,average_submitted_chrg_amt_mean,average_submitted_chrg_amt_median,average_submitted_chrg_amt_count,line_srvc_cnt_mean,line_srvc_cnt_median,line_srvc_cnt_count,coverage_rate_mean,coverage_rate_median,coverage_rate_count,total_spending_mean,total_spending_median,total_spending_count,Latitude_mean,Latitude_median,Latitude_count,Longitude_mean,Longitude_median,Longitude_count
0,674.975432235541,536.0,2188,72.75639853747715,44.0,2188,0.7458117913019764,0.7529808471235323,2188,50415.6973126046,21082.720000055,2188,39.744628204753155,39.734686,2188,-104.99195775137353,-104.96698,2188
1,780.7118392327468,720.635,304,92.67105263157895,59.5,304,0.7630917698734783,0.7679044086776716,304,75837.31746695553,36005.0,304,38.500410059210566,38.528103,304,-77.3890178289469,-77.47077,304
2,565.7574169691878,495.00840336,2899,90.47292169713694,57.0,2899,0.7732202741033042,0.7717337717183653,2899,52050.35089339073,22536.0,2899,37.88910337599103,37.801878,2899,-122.29247640427782,-122.264,2899
3,815.2670855209426,690.225218085,1284,88.58411214953271,60.0,1284,0.7510345168368111,0.7589095948030773,1284,84057.15282714507,32280.000000045,1284,30.05082643613742,29.961875,1284,-90.1036544797514,-90.10197,1284
4,617.6576814695794,505.0,4701,95.1825143586471,64.0,4701,0.7529956850410725,0.7612822813839865,4701,61917.55289510723,26689.950000089997,4701,41.81236804573513,41.880682,4701,-87.68361521378647,-87.6877,4701
5,526.5477503595899,398.18,852,85.12323943661971,57.5,852,0.7359002432299175,0.7389012406565785,852,46447.33136148873,18360.300000025,852,21.30843047417849,21.313032999999997,852,-157.80457964788962,-157.85615,852
6,557.4819724047708,444.82417582,897,99.44704570791528,72.0,897,0.7483814271292224,0.757889112657926,897,57400.34936454081,23220.0,897,36.0888056700109,36.146143,897,-95.86782431438137,-95.92475,897
7,710.6247616189974,655.0,1230,91.50162601626016,57.0,1230,0.7570780886561885,0.7645559909856043,1230,69054.38035765236,28567.99999965,1230,30.33331131869904,30.294389000000002,1230,-81.64556290325237,-81.6374,1230
8,743.8356744256807,725.0,366,88.72131147540983,63.0,366,0.7535363961722925,0.76553206292517,366,66420.3072678057,31554.50000004,366,61.20211468032809,61.203953000000006,366,-149.7681860655733,-149.8144,366
9,612.3979239022766,486.0,4999,93.00180036007201,62.0,4999,0.761813105964118,0.7683235574791513,4999,59515.49486895161,26024.200000240002,4999,39.94715410562132,39.952962,4999,-75.18379991258091,-75.14589000000001,4999
10,677.998548858904,619.3362069,1021,97.03721841332028,63.0,1021,0.7614216408674573,0.7680303358719411,1021,62171.45487762203,27254.000000040003,1021,47.195183134182145,47.248953,1021,-122.4744235279124,-122.46598999999999,1021
11,594.6407120924016,534.0,3960,89.94974747474747,56.5,3960,0.7722763271463472,0.7742799221106464,3960,54360.941825739304,20736.0,3960,34.008621766414144,34.048207,3960,-118.31534213838572,-118.29866200000001,3960
12,598.6962311906519,498.75,1377,102.17138707334786,73.0,1377,0.7474037005884813,0.7565504334160755,1377,59301.87755260051,27467.999999992,1377,41.00364762018917,41.069604999999996,1377,-81.34092512708803,-81.48791,1377
13,494.63993340534864,443.584,3219,90.94563529046287,57.0,3219,0.7552163430605714,0.7655344954736212,3219,46727.02674124631,22008.0,3219,42.373856828829105,42.346996999999995,3219,-71.08753786797269,-71.09268,3219
14,799.4973900227697,739.54263566,709,91.61918194640339,62.0,709,0.7487678155258379,0.7569276749724769,709,81254.67252471503,37537.99999984,709,35.00036407052182,35.030474,709,-85.17993634696727,-85.25014,709
15,923.5459025663943,900.0,2622,86.19412662090008,50.0,2622,0.7526334981644935,0.7618507919939489,2622,84724.53474068793,31809.0699996,2622,29.827512783371528,29.704584000000004,2622,-95.4868006331048,-95.40465999999999,2622
16,430.5510338228233,357.9,209,75.55502392344498,55.0,209,0.7541222151519719,0.7562383703014419,209,34430.53449767544,17550.0,209,46.456236588516774,46.352758,209,-94.58291904306218,-94.58834,209
17,670.5776914592024,299.44741573,356,70.97191011235955,36.0,356,0.757422060048335,0.7680813674169351,356,60445.70426980318,12904.5,356,18.29525615168537,18.374896,356,-66.16339219943828,-66.06053299999999,356
18,680.7676300279246,615.51724138,53,78.79245283018868,56.0,53,0.7486538463123222,0.7545728499081048,53,58238.60641524297,37153.00000005,53,34.912267886792456,35.097719,53,-114.21532037735851,-114.30462,53
19,546.5391839430142,439.0,1291,77.47637490317584,54.0,1291,0.7364471141902624,0.7412973706939442,1291,43303.608141026234,19811.760000000002,1291,40.712107844306544,40.680064,1291,-111.82265192718721,-111.86216999999999,1291
20,692.5603218005809,552.0,432,117.84722222222223,84.0,432,0.7461730071570072,0.7567253692828335,432,78450.73520830795,35690.499999965,432,35.05930162037031,35.050612,432,-79.09214747685199,-78.97036999999999,432
21,768.3068320358086,656.0,539,102.60853432282003,72.0,539,0.7555542382679263,0.7679053581146665,539,84134.39189241937,34866.0,539,26.46935829499083,26.62365,539,-81.86050608534303,-81.8727,539
22,589.7954086382483,486.14864865,439,109.56719817767653,78.0,439,0.7497697072222503,0.7567391936248791,439,64033.14252843928,29904.99999939,439,38.06246006150337,37.997128000000004,439,-87.46350992255101,-87.52468,439
23,872.7167831711411,895.54310345,1031,91.44810863239573,58.0,1031,0.7490309166826509,0.7577067754482883,1031,79085.539049428,32717.999999879998,1031,32.72823488651778,32.730265,1031,-97.32372720853519,-97.32002,1031
24,654.4853811924409,576.0,4789,96.90457297974525,63.0,4789,0.7761010646311769,0.7763496513900049,4789,64959.77810608097,27389.0,4789,42.45545514575035,42.458502,4789,-83.13181311985593,-83.16356999999999,4789
25,528.3334378088736,355.0,87,74.66666666666667,51.0,87,0.7183266945939736,0.7240481614075499,87,41746.7008046727,18930.0,87,33.31113510344831,32.800222,87,-109.82295264367819,-109.88461000000001,87
26,593.1871590422253,462.0,1510,102.35894039735099,66.0,1510,0.7545621146398883,0.7634532451712739,1510,61093.69857616205,25659.0,1510,39.07193050198696,39.056505,1510,-94.74067348609181,-94.59640999999999,1510
27,666.2669920668064,546.66666667,8295,80.91428571428571,52.0,8295,0.7570767914653145,0.7661587613642928,8295,58144.52074262959,24498.440001,8295,40.78728212646186,40.760128,8295,-73.89992742796782,-73.94154,8295
28,573.7179382371701,487.26666667,1271,94.25649095200629,61.0,1271,0.7502548812684371,0.7583489190548917,1271,58132.79654605022,26955.0,1271,39.17881648623089,39.12721,1271,-84.54508010228149,-84.53822,1271
29,569.8917566346771,393.0,784,107.52168367346938,73.0,784,0.7477344246057445,0.7573736286560794,784,64191.80131368323,25264.50000028,784,34.787890062500104,34.752390999999996,784,-92.35935457015341,-92.3355,784
30,706.45842929177,619.38271605,1367,90.82443306510608,59.0,1367,0.7554474267837563,0.7612591126551999,1367,67696.10643013706,28875.0,1367,38.606653149231946,38.622601,1367,-90.30350755669457,-90.26182,1367
31,470.79440315475296,343.04207317,178,97.43820224719101,73.0,178,0.7368696264730251,0.7441223576484846,178,42440.155056338015,22797.0,178,47.44403280898886,47.540256,178,-114.06757039325845,-114.10566000000001,178
